X	Y	AGB	Csoil	Coast	 UAC 	Sector	SectorII
83.7572	12.6292	NA	NA	A	I	a	a
83.7572	12.6292	NA	NA	A	I	b	b
83.7572	12.6292	NA	1739.6	A	I	c 	c
83.7572	12.6292	NA	NA	A	I	d	d
72.8931	11.5578	70.98	NA	A	II	e	e
72.8914	11.5588	26.78	NA	A	II	f	f
74.4938	10.9615	91.4	NA	A	III	g	g
74.6075	10.8089	16.1	NA	A	III	h	h
74.4814	10.8619	75.8	NA	A	III	i	i	
74.938	10.9071	13.8	NA	A	III	j	j
74.1284	11.3178	132.1	NA	A	II	k	k
75.2468	10.6952	NA	NA	A	III	l	l
75.2138	10.799	NA	NA	A	III	m	m
75.2038	10.8173	NA	NA	A	III	n	n
75.0264	10.9475	NA	NA	A	III	ñ	ñ
74.9784	10.9786	NA	NA	A	III	o	o
74.9078	11.0409	NA	NA	A	III	p 	p 
74.8751	11.0472	NA	NA	A	III	q	p 
74.8701	11.0455	NA	NA	A	III	q	p 
74.8486	11.0389	NA	NA	A	III	q	q
74.8423	11.0596	NA	NA	A	III	r	r
75.6653	10.1594	NA	NA	A	III	s	s
75.8378	9.3566	147.5	1012.6	A	IV	t	t
75.8284	9.3606	186.6	974.4	A	IV	t	t
75.8423	9.3525	129.7	690	A	IV	u	t
75.8505	9.3712	153.2	1200.5	A	IV	v	t
75.7912	9.3874	80.2	106.7	A	IV	w	t
75.8563	9.382	122.8	52.7	A	IV	x	u
75.8588	9.3811	159.3	992	A	IV	x	t
75.8029	9.3906	90.4	178.3	A	IV	y	u
75.8397	9.3823	151.2	57.8	A	IV	z	u
75.8721	9.4155	131.7	65.7	A	IV	aa	v
75.8266	9.3673	101.8	95.3	A	IV	ab	u
75.8639	9.3961	89.3	63.5	A	IV	ac	u
75.8384	9.397	72	97.5	A	IV	ad	u
75.7914	9.3844	74	316.3	A	IV	ae	t
75.8435	9.3679	133.2	55.1	A	IV	ag	u
75.8464	9.3407	171.4	237	A	IV	ah	v
75.8447	9.3954	102.1	182.8	A	IV	x	u
75.854	9.369	220.8	1066.4	A	IV	x	t
75.8439	9.3784	128.5	1009.3	A	IV	ai	t
75.8276	9.4183	69.3	60.4	A	IV	aa	u
75.5885	9.4221	246.9	29.6	A	IV	aj	u
75.8548	9.3557	77.7	1173.5	A	IV	ak	t
77.1005	8.0508	178.6	NA	A	V	al	w
76.7407	7.9592	41.6	NA	A	V	am	x
76.7478	8.1111	61.6	NA	A	V	an	y
76.7478	8.1111	35	NA	A	V	an	y
76.9292	8.5458	21.2	NA	A	V	añ	z
76.9292	8.5458	43.8	NA	A	V	añ	z
76.9292	8.5458	30.8	NA	A	V	añ	z
77.2414	5.7825	NA	NA	P	VI	ao	aa	
77.4247	4.0529	NA	NA	P	VII	ap	ab
77.2594	4.0944	NA	NA	P	VII	aq	ac
77.0669	3.9148	NA	NA	P	VII	ar	ad
77.0669	3.8516	NA	NA	P	VII	as	af
77.1067	3.8077	NA	NA	P	VII	at	ag
77.169	3.6219	NA	NA	P	VII	au	ah
77.1309	3.6649	NA	NA	P	VII	av	ai
77.1818	3.6932	NA	NA	P	VII	av	ai
77.3627	3.3854	NA	NA	P	VII	aw	aj
77.3627	3.3854	NA	NA	P	VII	ax	ak
77.3819	3.3831	NA	NA	P	VII	ax	ak
77.4565	3.2272	NA	NA	P	VII	ay	al
77.2148	4.0678	109.6	179.1	P	VII	aq	ac
77.2055	4.0842	45.3	148.9	P	VII	aq	ac
77.2051	4.0874	295.9	140.2	P	VII	az	ac
77.1927	4.0506	4	168.9	P	VII	ba	ad
77.2678	4.0805	63.4	89	P	VII	bb	ac
77.266	4.0543	51	141.6	P	VII	bc	ae
77.2523	4.1069	184.9	114	P	VII	bd	ac
77.2714	4.1035	77	110.2	P	VII	be	ac
77.301	4.042	107.5	159.4	P	VII	bf	ae
77.268	3.9871	117.2	118.2	P	VII	bg	ae
77.6327	2.9357	NA	NA	P	VIII	bh	af
77.611	2.8997	NA	NA	P	VIII	bi	ag
77.6617	2.9232	NA	NA	P	VIII	bj	ah
77.6464	2.866	NA	NA	P	VIII	bk	ai
77.6972	2.8263	NA	NA	P	VIII	bl	aj
77.6997	2.8097	NA	NA	P	VIII	bm	ak
77.7358	2.7493	NA	NA	P	VIII	bn	al
77.7343	2.8042	NA	NA	P	VIII	bñ	am
77.7359	2.7987	NA	NA	P	VIII	bo	an
77.7359	2.7154	NA	NA	P	VIII	bp	añ
77.7692	2.7502	NA	NA	P	VIII	bq	ao
77.7304	2.7341	NA	NA	P	VIII	bn	al
