"ID","lat","long","start.date","end.date","data.band","min.band","max.band","mean.band","sd.band","band.yield","no.fill.data","poor.quality.data"
"Lat10.15939Lon-75.66525Start2013-01-01End2013-12-31","10.15938889","-75.66525","2013-01-01","2013-12-19","250m_16_days_NDVI","Inf","-Inf",NA,NA,NA,"95% (19/20)","5% (1/20)"
"Lat10.15939Lon-75.66525Start2013-01-01End2013-12-31","10.15938889","-75.66525","2013-01-01","2013-12-19","250m_16_days_NDVI","Inf","-Inf",NA,NA,NA,"85% (17/20)","15% (3/20)"
"Lat10.15939Lon-75.66525Start2013-01-01End2013-12-31","10.15938889","-75.66525","2013-01-01","2013-12-19","250m_16_days_NDVI","Inf","-Inf",NA,NA,NA,"85% (17/20)","15% (3/20)"
"Lat10.15939Lon-75.66525Start2013-01-01End2013-12-31","10.15938889","-75.66525","2013-01-01","2013-12-19","250m_16_days_NDVI","0.1392","0.1392","0.1392",NA,NA,"80% (16/20)","15% (3/20)"
"Lat10.15939Lon-75.66525Start2013-01-01End2013-12-31","10.15938889","-75.66525","2013-01-01","2013-12-19","250m_16_days_NDVI","0.4562","0.4562","0.4562",NA,NA,"65% (13/20)","30% (6/20)"
"Lat10.15939Lon-75.66525Start2013-01-01End2013-12-31","10.15938889","-75.66525","2013-01-01","2013-12-19","250m_16_days_NDVI","0.5149","0.5149","0.5149",NA,NA,"65% (13/20)","30% (6/20)"
"Lat10.15939Lon-75.66525Start2013-01-01End2013-12-31","10.15938889","-75.66525","2013-01-01","2013-12-19","250m_16_days_NDVI","0.5149","0.5149","0.5149",NA,NA,"55% (11/20)","40% (8/20)"
"Lat10.15939Lon-75.66525Start2013-01-01End2013-12-31","10.15938889","-75.66525","2013-01-01","2013-12-19","250m_16_days_NDVI","0.3662","0.5681","0.46715","0.142764859121564",NA,"50% (10/20)","40% (8/20)"
"Lat10.15939Lon-75.66525Start2013-01-01End2013-12-31","10.15938889","-75.66525","2013-01-01","2013-12-19","250m_16_days_NDVI","0.5249","0.5513","0.5381","0.0186676190233248",NA,"40% (8/20)","50% (10/20)"
"Lat10.15939Lon-75.66525Start2013-01-01End2013-12-31","10.15938889","-75.66525","2013-01-01","2013-12-19","250m_16_days_NDVI","Inf","-Inf",NA,NA,NA,"90% (18/20)","10% (2/20)"
