"X" "Y" "Mangroove" "EVI"
"1" -83.7572 12.6292 NA NA
"2" -83.7572 12.6292 NA NA
"3" -83.7572 12.6292 NA NA
"4" -83.7572 12.6292 NA NA
"5" -72.8931 11.5578 NA 3055.125
"6" -72.8914 11.5588 NA 3055.125
"7" -74.4938 10.9615 NA 3200
"8" -74.6075 10.8089 NA 3913.95239257812
"9" -74.4814 10.8619 NA NA
"10" -74.938 10.9071 NA 3995.2041015625
"11" -74.1284 11.3178 NA 2523.60009765625
"12" -75.2468 10.6952 NA 5207.6787109375
"13" -75.2138 10.799 NA 2196.21044921875
"14" -75.2038 10.8173 NA 963.666687011719
"15" -75.0264 10.9475 NA 1147.52941894531
"16" -74.9784 10.9786 NA 2620.32495117188
"17" -74.9078 11.0409 NA 2009.125
"18" -74.8751 11.0472 NA 85.2380981445312
"19" -74.8701 11.0455 1 3823.58325195312
"20" -74.8486 11.0389 1 639.434753417969
"21" -74.8423 11.0596 NA NA
"22" -75.6653 10.1594 NA 2354.7646484375
"23" -75.8378 9.3566 1 5793
"24" -75.8284 9.3606 1 5478.37939453125
"25" -75.8423 9.3525 1 5525.03466796875
"26" -75.8505 9.3712 1 5659.896484375
"27" -75.7912 9.3874 1 4140.48876953125
"28" -75.8563 9.382 1 5214.21728515625
"29" -75.8588 9.3811 1 5397.35302734375
"30" -75.8029 9.3906 1 4928.7587890625
"31" -75.8397 9.3823 1 4909.89990234375
"32" -75.8721 9.4155 1 5384.92578125
"33" -75.8266 9.3673 1 4400.5
"34" -75.8639 9.3961 1 5300.47998046875
"35" -75.8384 9.397 1 6063.7998046875
"36" -75.7914 9.3844 NA 2158.6875
"37" -75.8435 9.3679 1 5368.89306640625
"38" -75.8464 9.3407 1 4378.06884765625
"39" -75.8447 9.3954 1 5556.3212890625
"40" -75.854 9.369 1 5822.74267578125
"41" -75.8439 9.3784 1 5454.78955078125
"42" -75.8276 9.4183 1 5704.9677734375
"43" -75.5885 9.4221 NA 4443.67431640625
"44" -75.8548 9.3557 1 5408.689453125
"45" -77.1005 8.0508 NA 5549.43115234375
"46" -76.7407 7.9592 1 6538.66650390625
"47" -76.7478 8.1111 NA NA
"48" -76.7478 8.1111 NA NA
"49" -76.9292 8.5458 NA 6376.9091796875
"50" -76.9292 8.5458 NA 6376.9091796875
"51" -76.9292 8.5458 NA 6376.9091796875
"52" -77.2414 5.7825 1 4398.4287109375
"53" -77.4247 4.0529 1 NA
"54" -77.2594 4.0944 1 2857.42846679688
"55" -77.0669 3.9148 NA 5153.0498046875
"56" -77.0669 3.8516 1 3719.88891601562
"57" -77.1067 3.8077 1 4139.4443359375
"58" -77.169 3.6219 NA 4223.16650390625
"59" -77.1309 3.6649 NA 2950.85717773438
"60" -77.1818 3.6932 NA 2833.53344726562
"61" -77.3627 3.3854 1 4033.81811523438
"62" -77.3627 3.3854 1 4033.81811523438
"63" -77.3819 3.3831 1 5162.0556640625
"64" -77.4565 3.2272 NA 4842.21044921875
"65" -77.2148 4.0678 NA 2932.875
"66" -77.2055 4.0842 1 3632.30004882812
"67" -77.2051 4.0874 1 3941.1904296875
"68" -77.1927 4.0506 1 1513.66662597656
"69" -77.2678 4.0805 NA 4572.4287109375
"70" -77.266 4.0543 NA 140.399993896484
"71" -77.2523 4.1069 NA 4377.947265625
"72" -77.2714 4.1035 NA 3888.4443359375
"73" -77.301 4.042 NA 1114
"74" -77.268 3.9871 NA 2930.14282226562
"75" -77.6327 2.9357 NA 5409.21435546875
"76" -77.611 2.8997 NA 4784.60009765625
"77" -77.6617 2.9232 NA 5428.89990234375
"78" -77.6464 2.866 NA 5550.181640625
"79" -77.6972 2.8263 1 4301.21435546875
"80" -77.6997 2.8097 1 4920
"81" -77.7358 2.7493 NA 5460.06689453125
"82" -77.7343 2.8042 1 5158.3076171875
"83" -77.7359 2.7987 1 4981.77783203125
"84" -77.7359 2.7154 NA 4875.91650390625
"85" -77.7692 2.7502 NA 4627.681640625
"86" -77.7304 2.7341 1 4653.384765625
MeanEVIPlots.txt
